# Event Name	Frame Name	Core/Non-Core Frame Element	Frame Element Name	Frame/Frame Element Definition	Is Argument Role?	Merged Argument Role (if previous column is 3)	Is Entity?
Know	Becoming_aware			Words in this frame have to do with a Cognizer adding some Phenomenon to their model of the world. They are similar to Coming-to-believe words, except the latter generally involve reasoning from Evidence.				
		Non-Core	Frequency	his frame element is defined as the number of times an event occurs per some unit of time. A Frequency expression answers the question how often.		0		
		Core	Instrument	The Cognizer uses an Instrument to (enable themselves to) become aware of the Phenomenon.  In some cases, the Instrument may appear in subject position.		1		1
		Non-Core	Time	This FE identifies the Time when the Cognizer becomes aware of the Phenomenon.		1		1
		Non-Core	Period_of_iterations	This FE is minimally distinct from Duration and Duration_of final_state in that the clause described is conveyed to be iterative.		0		
		Non-Core	Explanation	The Explanation denotes a proposition from which the main clause (headed by the target) logically follows. This often means that the Explanation causes the target's proposition, but not in all cases.		0		
		Non-Core	Evidence	The Evidence is some fact that allows the Cognizer to become aware of something. It is normally expressed with PP-from:		1		0
		Core	Cognizer	The Cognizer is the person who becomes aware of a Phenomenon. It is normally expressed as an External Argument.		1		1
		Non-Core	Particular_iteration	Expressions marked with this extra-thematic FE modify a non-iterative use of the target, and indicate that it is conceived as embedded within an iterated series of similar events or states. In addition, most expressions of Particular_iteration indicate which instance of the series is being referred to.		0		
		Non-Core	Degree	This FE identifies the Degree to which becoming aware is occurring.		0		
		Non-Core	Purpose	The goal that the Cognizer has in mind, which they believe to be accomplishable by finding the Phenomenon.		0		
		Non-Core	Manner	This FE identifes the Manner in which becoming aware occurs.		0		
		Non-Core	Circumstances	Circumstances describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.		0		
		Core	Topic	Topic indicates the general field within which the Phenomenon is found.		1		1
		Non-Core	State	The State indicates the state or situation of the Phenomenon at the time when the Cognizer becomes aware of it.  It is normally expressed by a Predicate expression (e.g. a PP or a participial VP):		0		
		Core	Phenomenon	Thm Phenomenon is the entity or situation in the world of which a Cognizer becomes aware. It is normally expressed as an Object:		1		1
		Non-Core	Ground	The Ground is the background or context against which a Cognizer becomes aware of a Phenomenon. It is normally expressed by a locative PP:		0		
		Core	Means	This FE identifes the Means by which the Cognizer becomes aware of the Phenomenon.		1		0
Warning	Warning			A Speaker warns an Addressee by giving a Message that describes an undesirable situation that may affect the Addressee. The warning may alternatively be described as about Topic pertaining to the undesirable situation, or issued via a specific Medium.				
		Core	Addressee	The Addressee receives the warning from the Speaker.		1		1
		Non-Core	Communicative_force	This FE indicates the Communicative_force or authority with which the Message is expressed (often denoted by words such as "officially," "formally," "technically," etc.).		0		
		Non-Core	Means	The Means describes the way the Speaker accomplishes the task of warning the Addressee.		1		0
		Non-Core	Manner	The Manner describes the way in which the Speaker delivers the warning.		0		
		Non-Core	Descriptor	A characteristic or description of the telling event or of the Speaker or Addressee.		0		
		Core	Message	The Message is the communication produced by the Speaker.		1		0
		Non-Core	Iterations	This FE indicates the number of times an event or state (of the kind denoted by the target in its clause) has taken place or held.		0		
		Core	Medium	This frame element is the Medium in which the Message is expressed.		1		0
		Core	Topic	The Topic is a general description of the content of the Message.		1		1
		Non-Core	Time	The time period during which the Speaker warns the Addressee.		1		1
		Core	Speaker	The Speaker produces the Message to alert the Addressee as to possible danger.		1		1
		Non-Core	Place	The location in which the Speaker warns Addressee.		1		1
Catastrophe	Catastrophe			The words in this frame involve an Undesirable_event which affects the Patient negatively.  No agent need be involved.  The first calamity was a disastrous trade war with Holland.  It is sad to have to make a living by grubbing around in the dirt of a national calamity.  The result has been catastrophic.				
		Non-Core	Manner	Manner of performing an action		0		
		Non-Core	Place	Where the Undesirable_Event takes place.		1		1
		Non-Core	Cause	The cause of the Undesirable_Event.		1		0
		Non-Core	Degree	This FE identifies the Degree to which event occurs.		0		
		Non-Core	Time	When the Undesirable_Event occurs.		1		1
		Non-Core	Circumstances	This FE indicates the Circumstances under which a warning applies. (Proper only to betide.)		0		
		Core	Patient	The entity that experiences the Undesirable_Event.  An environmental disaster is just what we need. Should hair loss befall you...		1		1
		Core	Undesirable_event	The undesirable event which occurs.		1		0
Placing	Placing_scenario			This frame represents the abstract scene in which an Agent manipulates a Theme's location, thus affecting a Goal which ends up co-located with the Theme.				
		Non-Core	Source	The Source is the location where the Theme begins its motion. Josef filled his flask from the whiskey bottle.		1		1
		Non-Core	Time	When the filling occurs.		1		1
		Core	Goal	The Goal is the area or container being filled. Goal is generally the NP Object in this frame.		3	Location	
		Non-Core	Result	The Result is the resultant state after the filling has occurred.		0		
		Non-Core	Means	The Means by which the filling occurs.		1		0
		Non-Core	Place	Where the filling takes place.		1		1
		Core	Cause	An event which brings about the filling of the Goal.		1		0
		Non-Core	Explanation	The Explanation for which the Agent fills or covers the Goal. Samantha covered the table with flowers because she was bored.		0		
		Non-Core	Subregion	The Subregion is the smaller area of the Goal where the filling or covering occurs. Mrs. Bouvier anointed the children with oil on the forehead.		3	Location	
